INFORMATICA_USER,WORKFLOW,FULLPATH,PARAMETER_FILE,CONNECTIONS,USE_TNS,COMMENT
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_INVALID,$PMRootDir/Scripts/MERCHANT_TOOL/safenet_decrypt_conf_files/safenet.sh,,SafeNet,,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_INVALID,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/send_api_response.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,"ACCOUNT_UPDATER, MySQL_MERCHTOOL_TREXARCDB01, Credonote, SafeNet",N,
INFO_REP_PROD_PCI,wf_MERCHANT_TOOL_RESPONSE_INVALID,$PMRootDir/Scripts/MERCHANT_TOOL/scripts/remove_processed_files.py,$PMRootDir/Scripts/MERCHANT_TOOL/MerchantTool.conf,,,
INFO_REP_PROD,airfllow_chargeback_webhook_all_DB_connections,/apps/airflow/dags/chargeback_webhook.py,airflow parameters,"STG, INTERFACES, MySQL_Raptor_Thetray_Aml",v,
INFO_REP_PROD,airfllow_chargeback_webhook_all_external_end_points,/apps/airflow/dags/chargeback_webhook.py,airflow parameters,"Credonote, SMTP airflow mail server",,
INFO_REP_PROD,airflow_chargeback_management-2.0.1-1_al_connections,/apps/airflow/dags/chargebacks_management-2.0.1-1.py,airflow parameters,"STG, INTERFACES, DWH",V,
INFO_REP_PROD,"airflow_chargeback_management-2.0.1-1 
all external end points",/apps/airflow/dags/chargebacks_management-2.0.1-1.py,airflow parameters,"saleforce, SMTP airflow mail server",,
INFO_REP_PROD,cbs_gl_extracts-v1.0.0-8_all_DB_connections,/apps/airflow/dags/cbs_gl_extracts_dag-v1.0.0-8.py,airflow parameters,GL_EXTRACTS,V,
INFO_REP_PROD,cbs_gl_extracts-v1.0.0-8_all_external_end_points,/apps/airflow/dags/cbs_gl_extracts_dag-v1.0.0-8.py,airflow parameters,"temenos_ftp, sg, CBS, SMTP airflow mail server",,
INFO_REP_PROD,feedzai_trx_labeling all_connections,/apps/airflow/dags/feedzai_trx_labeling_dag.py,airflow parameters,"DWH, FRAUD_ODS, STG",V,
INFO_REP_PROD,feedzai_trx_labeling all_external_end_points,/apps/airflow/dags/feedzai_trx_labeling_dag.py,airflow parameters,feedzai,,
INFO_REP_PROD,chargeback_webhook_all_DB_connections,/apps/airflow/dags/chargeback_webhook.py,airflow parameters,"STG, INTERFACES, MySQL_Raptor_Thetray_Aml",v,
INFO_REP_PROD,chargeback_webhook_all_external_end_points,/apps/airflow/dags/chargeback_webhook.py,airflow parameters,"Credonote, SMTP airflow mail server",,
,WF_CLEAR_DATA,$PMRootDir/Scripts/clear_data/clear_data.py,$PMRootDir/Scripts/clear_data/clear_data.param,"STG, TRANSFORMER, BILLING",Y,
